technique_ID,Azure AD,Containers,Google Workspace,IaaS,Linux,Network,Office 365,PRE,SaaS,Windows,macOS
T1090.002,0,0,0,0,1,0,0,0,0,1,1
T1090.003,0,0,0,0,1,1,0,0,0,1,1
T1090.004,0,0,0,0,1,0,0,0,0,1,1
T1091,0,0,0,0,0,0,0,0,0,1,0
T1092,0,0,0,0,1,0,0,0,0,1,1
T1095,0,0,0,0,1,1,0,0,0,1,1
T1098,1,0,1,1,1,1,1,0,1,1,1
T1098.001,1,0,0,1,0,0,0,0,1,0,0
T1098.002,0,0,1,0,0,0,1,0,0,1,0
T1098.003,1,0,1,1,0,0,1,0,1,0,0
T1098.004,0,0,0,1,1,1,0,0,0,0,1
T1098.005,1,0,0,0,0,0,0,0,1,1,0
T1102,0,0,0,0,1,0,0,0,0,1,1
T1102.001,0,0,0,0,1,0,0,0,0,1,1
T1102.002,0,0,0,0,1,0,0,0,0,1,1
T1102.003,0,0,0,0,1,0,0,0,0,1,1
T1104,0,0,0,0,1,0,0,0,0,1,1
T1105,0,0,0,0,1,0,0,0,0,1,1
T1106,0,0,0,0,1,0,0,0,0,1,1
T1110,1,1,1,1,1,1,1,0,1,1,1
T1110.001,1,1,1,1,1,1,1,0,1,1,1
T1110.002,1,0,0,0,1,1,1,0,0,1,1
T1110.003,1,1,1,1,1,0,1,0,1,1,1
T1110.004,1,1,1,1,1,0,1,0,1,1,1
T1111,0,0,0,0,1,0,0,0,0,1,1
T1112,0,0,0,0,0,0,0,0,0,1,0
T1113,0,0,0,0,1,0,0,0,0,1,1
T1114,0,0,1,0,1,0,1,0,0,1,1
T1114.001,0,0,0,0,0,0,0,0,0,1,0
T1114.002,0,0,1,0,0,0,1,0,0,1,0
T1114.003,0,0,1,0,1,0,1,0,0,1,1
T1115,0,0,0,0,1,0,0,0,0,1,1
T1119,0,0,0,1,1,0,0,0,1,1,1
T1120,0,0,0,0,1,0,0,0,0,1,1
T1123,0,0,0,0,1,0,0,0,0,1,1
T1124,0,0,0,0,0,1,0,0,0,1,0
T1125,0,0,0,0,1,0,0,0,0,1,1
T1127,0,0,0,0,0,0,0,0,0,1,0
T1127.001,0,0,0,0,0,0,0,0,0,1,0
T1129,0,0,0,0,0,0,0,0,0,1,0
T1132,0,0,0,0,1,0,0,0,0,1,1
T1132.001,0,0,0,0,1,0,0,0,0,1,1
T1132.002,0,0,0,0,1,0,0,0,0,1,1
T1133,0,1,0,0,1,0,0,0,0,1,1
T1134,0,0,0,0,0,0,0,0,0,1,0
T1134.001,0,0,0,0,0,0,0,0,0,1,0
T1134.002,0,0,0,0,0,0,0,0,0,1,0
T1134.003,0,0,0,0,0,0,0,0,0,1,0
T1134.004,0,0,0,0,0,0,0,0,0,1,0
T1134.005,0,0,0,0,0,0,0,0,0,1,0
T1135,0,0,0,0,1,0,0,0,0,1,1
T1136,1,0,1,1,1,1,1,0,0,1,1
T1136.001,0,0,0,0,1,1,0,0,0,1,1
T1136.002,0,0,0,0,1,0,0,0,0,1,1
T1136.003,1,0,1,1,0,0,1,0,1,0,0
T1137,0,0,0,0,0,0,1,0,0,1,0
T1137.001,0,0,0,0,0,0,1,0,0,1,0
T1137.002,0,0,0,0,0,0,1,0,0,1,0
T1137.003,0,0,0,0,0,0,1,0,0,1,0
T1137.004,0,0,0,0,0,0,1,0,0,1,0
T1137.005,0,0,0,0,0,0,1,0,0,1,0
T1137.006,0,0,0,0,0,0,1,0,0,1,0
T1140,0,0,0,0,1,0,0,0,0,1,1
T1176,0,0,0,0,1,0,0,0,0,1,1
T1185,0,0,0,0,0,0,0,0,0,1,0
T1187,0,0,0,0,0,0,0,0,0,1,0
T1189,0,0,0,0,1,0,0,0,1,1,1
T1190,0,1,0,1,1,1,0,0,0,1,1
T1195,0,0,0,0,1,0,0,0,0,1,1
T1195.001,0,0,0,0,1,0,0,0,0,1,1
T1195.002,0,0,0,0,1,0,0,0,0,1,1
T1195.003,0,0,0,0,1,0,0,0,0,1,1
T1197,0,0,0,0,0,0,0,0,0,1,0
T1199,0,0,0,1,1,0,1,0,1,1,1
T1200,0,0,0,0,1,0,0,0,0,1,1
